id,observed_on,latitude,longitude,scientific_name
62909,2012-04-06,47.2408484016,-122.4243946076,Brassica rapa
66863,2012-04-16,46.9053115,-123.0475938,Ranunculus occidentalis
66867,2012-04-16,46.9053115,-123.0475938,Lomatium utriculatum
73268,2012-04-23,46.8655886,-123.0417252,Lomatium utriculatum
83091,2012-05-25,47.6556923,-122.2931387,Myosotis discolor
83563,2012-05-24,47.6560610968,-122.295524769,Geranium dissectum
83606,2012-05-26,47.4425055,-122.2041206,Myosotis discolor
84171,2012-05-24,47.6556923,-122.2931387,Geranium dissectum
85379,2012-05-22,47.6515632721,-122.3077440262,Myosotis discolor
89023,2012-06-06,47.8450298309,-121.9664490223,Brassica rapa
270179,2013-05-16,47.493033,-122.24995,Myosotis discolor
327921,2013-07-10,46.951525,-122.415686,Centaurium erythraea
346690,2013-07-20,46.90262,-123.061908,Centaurium erythraea
382308,2013-08-14,44.006974,-122.980749,Acmispon americanus americanus
604346,2014-04-01,48.116265,-122.773816,Lomatium utriculatum
625147,2014-04-14,48.057847,-122.769538,Plectritis congesta
664938,2014-05-06,48.057101,-122.76765,Brassica rapa
664947,2014-05-06,48.057101,-122.76765,Delphinium menziesii
713232,2014-05-19,47.680257,-122.253201,Geranium dissectum
769650,2014-07-04,45.343368,-122.629802,Centaurium erythraea
769653,2014-07-04,45.343277,-122.630381,Clarkia amoena
919470,2014-10-11,45.4846383333,-122.5014116667,Clarkia amoena
919471,2014-10-11,45.4844783333,-122.5013283333,Clarkia amoena
1186632,2007-04-06,45.360782,-122.6176,Plectritis congesta
1238035,2015-02-16,45.5925786516,-122.9264871346,Iris tenax
1432894,2015-04-25,45.498211,-122.839487,Camassia leichtlinii
1439037,2015-03-29,45.327332,-122.582903,Myosotis discolor
1499086,2015-05-14,46.8275616667,-123.0075138833,Ranunculus occidentalis
1503113,2015-05-17,45.528519,-122.660852,Lysimachia arvensis
1540456,2015-05-24,46.833108,-122.996911,Potentilla gracilis
1585436,2015-05-30,45.979835,-122.539895,Iris tenax
1602683,2015-06-06,45.909498,-122.590449,Iris tenax
1617800,2015-06-10,45.5279846156,-122.8833124824,Clarkia purpurea viminea
1648547,2015-06-19,45.51018,-122.6857216667,Lysimachia arvensis
1975526,2015-09-07,48.837737,-122.153646,Dianthus armeria
2001572,2015-09-26,45.68086583,-122.74103308,Centaurium erythraea
2400131,2015-11-18,47.170147,-122.524243,Brassica rapa
2835801,2010-05-20,47.441042,-122.100694,Plectritis congesta
2874433,2016-04-03,43.9927216667,-122.956405,Plectritis congesta
2927008,2016-04-12,45.49662,-123.0982666667,Camassia leichtlinii
2972141,2016-04-18,47.8394432407,-121.9584558964,Brassica rapa
2993651,2016-04-20,48.116265,-122.774223,Lomatium utriculatum
2997634,2016-04-21,48.116179,-122.774695,Ranunculus occidentalis
3005280,2016-04-22,45.582389,-122.536881,Plectritis congesta
3013230,2016-04-23,46.0040720477,-122.8468659277,Myosotis discolor
3032889,2016-04-25,45.7480368003,-122.6095847349,Myosotis discolor
3044757,2016-04-27,46.833918,-122.994553,Lomatium utriculatum
3044784,2016-04-27,46.822846,-123.020259,Plectritis congesta
3050657,2016-04-27,46.831705,-123.014194,Collinsia grandiflora
3050689,2016-04-27,46.823812,-123.018864,Ranunculus occidentalis
3091767,2016-05-02,45.5443466667,-122.5764916667,Plectritis congesta
3091768,2016-05-02,45.5443283333,-122.5767966667,Collinsia grandiflora
3115378,2016-05-06,45.62039635,-122.66429023,Lupinus bicolor
3150245,2016-05-10,45.4707606712,-122.2111933538,Collinsia grandiflora
3168317,2016-05-13,48.75132017,-122.42830272,Brassica rapa
3184345,2016-05-15,48.46266,-122.62488,Eriophyllum lanatum
3250209,2016-05-21,45.6239316572,-122.6588276145,Lupinus bicolor
3322342,2016-05-28,46.90162814,-123.04927411,Eriophyllum lanatum
3335183,2016-05-07,44.583015,-123.302648,Ranunculus occidentalis
3344548,2016-05-30,45.9093066857,-122.5906691708,Iris tenax
3384438,2010-09-03,45.4851633333,-122.4989016667,Epilobium densiflorum
3398001,2011-06-11,45.8393433333,-122.7585466664,Plectritis congesta
3401443,2016-06-07,45.4197896831,-122.5312401821,Bellardia viscosa
3420000,2016-06-09,45.5832416667,-122.5399783333,Lysimachia arvensis
3455512,2011-06-21,45.4879283333,-122.50486,Eriophyllum lanatum
3455539,2011-06-21,45.4879816667,-122.5044783333,Eriophyllum lanatum
3459911,2011-08-03,45.4869066667,-122.50183,Clarkia amoena
3496261,2016-06-21,45.4413054401,-122.4044012241,Madia elegans
3497631,2016-06-21,45.5907603407,-123.0213993998,Lysimachia arvensis
3498673,2016-06-21,45.5485884717,-123.022624672,Centaurium erythraea
3499175,2016-06-21,45.5787179487,-123.1656697565,Acmispon americanus
3504039,2016-06-22,45.5770333333,-122.5845416667,Lysimachia arvensis
3507581,2016-06-23,46.82626435,-123.01774426,Eriophyllum lanatum
3511132,2016-06-23,45.5556,-122.38485,Collinsia grandiflora
3511148,2016-06-23,45.5546383333,-122.3845533333,Clarkia amoena
3511435,2016-06-23,45.5544283333,-122.3845583333,Madia elegans
3514404,2016-06-22,43.719641,-123.048918,Clarkia amoena lindleyi
3515633,2016-06-23,48.6926685647,-122.4416335301,Dianthus armeria
3523066,2016-05-16,45.485733,-122.501319,Plagiobothrys figuratus
3523533,2016-04-26,45.4868383333,-122.5080866667,Iris tenax
3541789,2016-06-28,45.62878,-122.7564616667,Centaurium erythraea
3541840,2016-06-28,45.6034283333,-122.69113,Clarkia amoena
3558210,2016-06-28,45.5424369906,-122.9469538538,Clarkia purpurea viminea
3570567,2016-06-30,45.6264883333,-122.761155,Bellardia viscosa
3570573,2016-06-30,45.6264916667,-122.76113,Centaurium erythraea
3572323,2016-06-30,45.6348383333,-122.76085,Centaurium erythraea
3597518,2016-07-02,47.7536466667,-122.0334471667,Bellardia viscosa
3623284,2016-07-03,45.336641,-122.59092,Lysimachia arvensis
3630118,2016-07-05,45.558145,-122.4250416667,Acmispon americanus
3662938,2016-07-11,45.5270783333,-123.0182195,Epilobium densiflorum
3679604,2016-07-14,45.6033883333,-122.691055,Clarkia amoena
3714972,2016-07-21,46.9040625,-122.8493159,Clarkia amoena
3714976,2016-07-21,46.9031530268,-122.8491963011,Clarkia amoena
3725596,2016-07-21,45.5826416667,-122.5389033333,Epilobium densiflorum
3725600,2016-07-20,45.5542916667,-122.384055,Madia elegans
3743833,2016-07-24,45.4381716667,-122.80963,Bellardia viscosa
3746041,2016-07-25,45.485545,-122.5011083333,Acmispon americanus
3749111,2016-07-20,45.5556833333,-122.3852,Clarkia amoena lindleyi
3828547,2016-08-07,44.7992181067,-123.1359337817,Epilobium densiflorum
3899149,2016-08-16,45.583205,-122.5407633333,Acmispon americanus
3899264,2016-08-16,45.5830783333,-122.5408166667,Epilobium densiflorum
3899484,2016-08-16,45.582895,-122.538025,Madia elegans
3899889,2016-08-16,45.5803033333,-122.5356366667,Madia elegans
3982273,2016-08-28,45.4895241774,-122.5071716309,Madia elegans
4107218,2016-09-12,45.5824366667,-122.5391383333,Epilobium densiflorum
4120406,2016-09-15,45.431745,-122.826425,Acmispon americanus
4248948,2016-09-26,45.4890744572,-122.520606815,Lysimachia arvensis
4897759,2016-08-10,47.636506,-121.907429,Dianthus armeria
5475427,2017-03-25,44.635819,-123.308305,Adelinia grandis
5486351,2016-09-11,44.6461111111,-123.3463888889,Dianthus armeria
5496085,2017-03-28,44.606327,-123.282249,Ranunculus occidentalis
5605700,2016-04-24,44.6470121906,-123.3408741653,Collinsia grandiflora
5617867,2017-04-08,44.6413879395,-123.2863922119,Adelinia grandis
5621042,2017-04-06,45.4990124185,-122.8203281945,Adelinia grandis
5684561,2016-07-09,44.4119444444,-123.3141666667,Lysimachia arvensis
5684758,2016-07-09,44.4241666667,-123.305,Clarkia amoena lindleyi
5701402,2017-04-14,47.6967620833,-122.3734283333,Geranium lucidum
5773459,2017-04-16,45.3591751,-122.6181895,Plectritis congesta
5792985,2017-04-06,45.5559966667,-122.4179466667,Brassica rapa
5873208,2017-04-19,46.8643416667,-122.9590916667,Plectritis congesta
5885465,2017-04-20,43.996043,-122.953053,Camassia leichtlinii suksdorfii
5915806,2017-05-13,44.656884,-123.235412,Geranium lucidum
5916010,2017-04-22,44.607535,-123.279117,Lupinus bicolor
5934891,2016-06-06,44.4147222222,-123.3144444444,Bellardia viscosa
5946025,2017-04-23,48.4188064,-122.6535442,Plectritis congesta
5951362,2017-04-24,47.8191342859,-122.3085701466,Brassica rapa
5975271,2017-04-22,48.4157302851,-122.656290821,Lomatium utriculatum
5975387,2017-04-23,48.415154,-122.6546136,Myosotis discolor
5989134,2017-04-27,46.9195604983,-122.8590131621,Ranunculus occidentalis
5989968,2017-04-27,45.4230800083,-122.4310835256,Myosotis discolor
5996934,2017-04-28,44.637525,-123.291405,Geranium lucidum
6001781,2017-04-15,44.5657545288,-123.3279056742,Ranunculus occidentalis
6004592,2017-04-28,44.6366225833,-123.2907714844,Adelinia grandis
6018896,2017-04-29,44.6469459534,-123.3411102295,Plectritis congesta
6019108,2017-04-29,44.6469459534,-123.3411102295,Collinsia grandiflora
6024025,2017-04-22,44.654793,-123.240284,Adelinia grandis
6024853,2017-04-22,44.655561,-123.238401,Iris tenax
6027258,2017-04-30,44.6360088559,-123.2925767453,Adelinia grandis
6041792,2017-04-30,44.57705688,-123.32841907,Camassia leichtlinii
6041806,2017-04-30,44.5719798,-123.33289093,Iris tenax
6044126,2017-05-01,46.8993115984,-123.0498033856,Lomatium utriculatum
6044215,2017-05-01,46.8991851574,-123.0473448058,Ranunculus occidentalis
6053529,2017-05-02,45.58162,-122.540825,Plectritis congesta
6055542,2017-05-02,44.8377411906,-123.3086093982,Camassia leichtlinii
6056461,2017-05-02,44.8379357765,-123.3084508964,Iris tenax
6074074,2017-05-02,45.6040616667,-122.690925,Geranium lucidum
6079966,2017-05-03,44.6069271304,-123.2835646906,Myosotis discolor
6080099,2017-05-03,44.6062786226,-123.279118091,Ranunculus occidentalis
6081535,2017-05-03,44.610539272,-123.2791968808,Myosotis discolor
6082839,2017-05-03,44.6405372,-123.30661413,Camassia leichtlinii suksdorfii
6090733,2017-05-04,46.87033186,-123.0513063,Ranunculus occidentalis
6093925,2017-05-03,44.5654333333,-123.3286583333,Iris tenax
6094641,2017-05-04,44.57070571,-123.33026366,Camassia leichtlinii
6097209,2017-05-04,44.4080555556,-123.3116666667,Plagiobothrys figuratus
6107999,2017-05-05,44.6054774803,-123.3898250946,Geranium lucidum
6115572,2017-05-06,45.3603966667,-122.6154783333,Collinsia grandiflora
6115882,2017-05-06,45.3606707789,-122.6156414208,Collinsia grandiflora
6122156,2017-05-06,44.6047530324,-123.3834889625,Plectritis congesta
6122157,2017-05-06,44.6051222133,-123.3806142212,Myosotis discolor
6122174,2017-05-06,44.6056472557,-123.3754669783,Myosotis discolor
6122211,2017-05-06,44.6055779374,-123.3755010926,Adelinia grandis
6129731,2017-05-07,44.41605765,-123.31550873,Camassia leichtlinii
6130056,2017-05-07,44.41000289,-123.31487064,Geranium lucidum
6136409,2017-04-29,44.6187370643,-123.3977444005,Ranunculus occidentalis occidentalis
6136411,2017-04-29,44.6189453127,-123.3976027464,Myosotis discolor
6153463,2017-05-09,46.9031415415,-122.8471926694,Collinsia grandiflora
6153526,2017-05-09,46.9032883924,-122.847346645,Plectritis congesta
6154362,2017-05-09,46.9032228459,-122.8473258578,Plectritis congesta
6156000,2017-05-09,46.903507663,-122.8480740265,Ranunculus occidentalis
