"term_lab","mean_est","median_est","lower_95","upper_95","effect_cat"
"Temperature",-0.0460370420080249,-0.0459366200943245,-0.07798617782084,-0.0128715199829521,"Negative (>95%)"
"Precipitation",0.069855525255622,0.0695873245768896,0.0395153868950143,0.101678601277321,"Positive (>95%)"
"Latitude",0.187841919365082,0.187212957401908,0.123974629861959,0.252420893405184,"Positive (>95%)"
"Life history",-0.716330220267858,-0.720672117492299,-1.45239649818521,0.0237684014566882,"Negative (>95%)"
"Temperature × Precipitation",0.00983498604895754,0.00876684624416821,-0.0170613392070039,0.0415315899735669,"Positive (<90%)"
"Latitude × Temperature",0.0629585753865518,0.0626830967789671,0.0236562923174287,0.107658363834077,"Positive (>95%)"
"Latitude × Precipitation",0.0471975076061061,0.0472568571481037,0.00979545817407153,0.0849843629505829,"Positive (>95%)"
